"","ZCTA5CE10","max99_1","max99_2","max99_3","max975_1","max975_2","max975_3","max95_1","max95_2","max95_3","min99_1","min99_2","min99_3","min975_1","min975_2","min975_3","min95_1","min95_2","min95_3","diff01_1","diff01_2","diff01_3","diff025_1","diff025_2","diff025_3","diff05_1","diff05_2","diff05_3"
"1512","95713",0.0240851910815787,0.164594077633001,0.497431284411984,-0.0334381211644417,0.0476751684888995,0.177258696801449,0.0378419648165774,-0.00229055342945585,-0.0196430413154513,-0.127645104473952,0.30752733933606,0,-0.0311866045091455,0.0928819783675341,0.111154752062937,0.0271888777152776,-0.0683543686239492,0.0334857058164617,-0.11998224693097,-0.172913398554667,0,-0.0879110104853756,-0.223438661318881,-0.32167057650285,-0.00156671663007465,0.0617617702868087,0.0717483213828589
"1513","95714",-0.0048416735581318,0.0141630857934037,0.02959206401935,-0.0179439398335145,-0.0184260110081691,-0.0182107717482271,-0.00197299319945642,-0.000353475972739492,0.0103194248881185,-0.0151151154917921,-0.00243099441666696,-0.0102059556744983,0.00930492029750824,0.0393202994223675,-0.0170126919057224,-0.00504883082654838,0.00679921432840978,0.01196347580104,-0.00895838743655028,-0.00719292202312828,-0.0286847096478525,-0.0125706876735067,-0.0187434749989449,-0.0288279241355445,-0.0200454347424131,-0.0203205075223122,-0.0215810455041367
"1514","95715",-0.000400916068909102,0.0211253032464149,0.0375108862271019,0.026123480589164,-0.0181446597559349,-0.0201389624699341,0.0176466861616553,0.020363995021519,0.0357557352649228,0.0652274787104727,0.13855002243525,-0.0497502210624613,0.0305335949129372,0.0603862592353769,0.0830495093751584,0.015855979035074,0.0246701166839011,0.0305324195654033,0.00160420503703091,0.010536194240418,-0.00307142621829539,-0.0083039986094395,-0.012773727125672,-0.0152176050395003,-0.0130032360457748,-0.0157688849436994,-0.0173709898880573
"1515","95717",-0.00228882739534575,0.0147263354653018,0.0290880222324079,-0.011354376871539,-0.0145385148002979,-0.0169595044546258,-0.00876520112699005,-0.0112371157692719,-0.0147317371902423,-0.00911259460214493,0.00299994982137216,-0.00200365751122481,-0.00876034564032465,0.00200940727080402,-0.0099525896054217,-0.0120321581541457,-0.0086203396830728,-0.0124127474191415,-0.00361544952681248,0.00291208077760326,-0.010185098787243,0.0178898836698219,-0.0230042030530603,-0.0209749273889246,0.0119861564750877,0.00522207417262422,-0.0263198601030886
"1516","95720",0.00382165315772544,0.0219861647684509,0.0372834960176874,-0.000965633916075403,-0.00417076583605978,-0.00712508655466126,3.94029326870911e-05,-0.00306864534098887,-0.00418981846407796,0.00282904737784572,0.0140285413828846,0.00457841705298754,0.00261615842317652,0.0173999974396513,0.00652307657185459,0.000937173959891044,0.00634465104903141,0.00348050472999733,0.00367542369972513,0.0106172014952909,0,-0.00214447433483178,-0.00884623491946114,-0.011716839429403,-0.00956135761849014,-0.0093376925506596,-0.00843245275270583
"1517","95721",0.00403067802140655,0.0223732159532312,0.0379331823303002,0.00102001062739844,-0.00404953733582272,-0.0070306262066957,0.00443012495000718,-0.000635482767071996,-0.00273071769259365,0.0030411061997176,0.0142648465713423,0,0.00596852215840241,0.0174894926034522,0.00683592914187388,0.00324534110368888,0.00613230690879048,0.00316720257286439,0.0037342061625933,0.0103857521956542,-0.0026046710676838,-0.000679309628849301,-0.00786226571128919,-0.0114133155967611,-0.00536722708723026,-0.0062090193160929,-0.00847429817682877
"1518","95722",-0.0229166160985637,0.0163952072998286,0.229193701056597,0.0362129503743741,0.0466675487747437,0.0591846972852453,0.0225498963928194,0.0391919336714887,0.0223549460832871,-0.0390448674351805,-0.17585776015827,-0.18881154191391,0.067994159539777,-0.0102039850312924,0.0233359646326255,0.0278069566234759,0.00884969894731042,0.00383672930393319,0.0311859407443217,0.588732488369391,0.192710721424142,-0.0354555640271721,0.0516233290586456,-0.115782564713814,0.0224877000758376,0.0633522501882948,0.111814834897298
"1519","95724",0.00354893709421957,0.0224054702186296,0.0379873228563512,0.000203075761082549,-0.00462298556663693,-0.0070835870654308,0.00346674053616048,-0.00150582955624605,-0.00348183550659368,8.19333177295222e-05,0.0142845386703804,0.0050604004893189,0.00208551176177056,0.0143322225561593,0.00686200018937549,0.000178296236988739,0.00362975217768044,0.00165716994114417,-0.00250327529103668,0.00752204143791874,0,-0.00455982413184794,-0.009583773160338,-0.0123553380963751,-0.0108717648082851,-0.0106352455479743,-0.011909413445655
"1520","95726",-0.207011733098483,-0.300410120452806,0.0184465409636475,-0.133390307291746,-0.0824978878612685,0.0755842171227911,-0.00750984243148437,-0.225921033498051,-0.121489731121602,-0.146032962237709,0.0566755854284915,0.270040455811726,0.15737863766117,0.0232401668077939,-0.00904066916685122,-0.00540516930613177,-0.0218554858780471,-0.00650841807565602,-0.0792588553301194,0.18000313482527,0,0.294611346074202,0.413965886465529,0.508322713162544,0.171325474911999,0.230364518651487,0.396261665372358
"1521","95728",-0.0037744893195971,0.0159891476016419,0.035363386799922,0.0514584069034018,-0.00883694153235662,-0.0113026505901216,0.0301652028222163,-0.0119106497521459,-0.0109503522093673,-0.00275983101639001,0.0105831843802435,0.00297656710317289,0.00110788750359812,0.0140937709333879,0.00517017111333107,-0.00346403687121642,0.00287146262327472,0.0014794488770218,-0.000893645923190832,0.00797806982148385,0,0.021732643102366,0.0545605803459783,-0.0171256947242665,0.00179326562328361,0.0115859928210766,0.0298631819086668
"1522","95735",0.0037837820201141,0.0218493059032668,0.0377653466995419,0.000852782983439918,-0.00444750242015185,-0.00771931423737685,0.0048546222483631,-0.000567432146217125,-0.00310496377102376,0.00318260708018295,0.014203801064324,0,0.00611218158126962,0.0176432411569023,0.0067551088946189,0.00318128983884639,0.0066058700118034,0.00403324883671338,0.00348121759026291,0.010218190565622,-0.00279017631984995,-0.000937213405395049,-0.0080459651910882,-0.0114917259201936,-0.00556562171189748,-0.00648403388607662,-0.0087417872551829
"1523","95736",0.0315241536878749,0.133031186496987,0.351469813153971,0.00536021143109868,0.0591377808896778,0.0698672421356183,0.00765291370946452,0.0138478040006446,0.0580516394508062,-0.0488485511755381,-0.0230030370208166,0,-0.00774240530394755,-0.00028221978732078,0.0113766534412042,-0.0169081962559495,-0.0117936195930727,-0.0216603698530595,0.0717566151329495,0.179413902939174,-0.0363058141814181,-0.0173423379594054,0.117145540359886,-0.0448447774338081,-0.0343411779858395,0.0363712495786883,-0.094750728761211
